n,has_opt,opt_len,run,aco_len,sa_len,aco_ms,sa_ms,aco_ratio,sa_ratio
12,1,326.746,1,326.746,326.746,26.934,13.487,1,1
12,1,326.746,2,326.746,326.746,26.734,13.506,1,1
12,1,326.746,3,326.746,326.746,26.8982,13.6985,1,1
12,1,326.746,4,326.746,326.746,26.6322,13.4402,1,1
12,1,326.746,5,326.746,326.746,26.7472,13.4795,1,1
12,1,326.746,6,326.746,326.746,26.7667,13.501,1,1
12,1,326.746,7,326.746,326.746,27.0267,13.5039,1,1
12,1,326.746,8,326.746,326.746,26.8355,13.4938,1,1
12,1,326.746,9,326.746,326.746,26.8463,13.5052,1,1
12,1,326.746,10,326.746,326.746,26.8456,13.4886,1,1
